 1951.8329  0.528766    
 1951.8356  -2.58669    
 1951.8384   2.40146    
 1951.8411  0.237804    
 1951.8439  -1.23884    
 1951.8466  -2.39183    
 1951.8494  -1.83977    
 1951.8521  -2.32806    
 1951.8547  0.909565    
 1951.8575 -0.547073    
 1951.8602   3.05646    
 1951.8630  -2.21861    
 1951.8657  -2.15351    
 1951.8685  -2.08870    
 1951.8712  -1.99820    
 1951.8740  -1.89571    
 1951.8767  -1.55020    
 1951.8794  -1.83791    
 1951.8822  -1.82388    
 1951.8849  -1.85107    
 1951.8877  0.334319    
 1951.8904  -1.82528    
 1951.8932  -1.73612    
 1951.8959  -1.67403    
 1951.8987  0.604406    
 1951.9014   1.36151    
 1951.9041   3.66783    
 1951.9069  -1.55901    
 1951.9095  -1.58383    
 1951.9124  -1.62122    
 1951.9150   1.64672    
 1951.9178  -1.65739    
 1951.9205   3.92899    
 1951.9233  -1.46290    
 1951.9260  -1.65461    
 1951.9287  -1.64980    
 1951.9315   1.36620    
 1951.9342 -0.895362    
 1951.9370   2.33351    
 1951.9397 -0.816522    
 1951.9425   3.04591    
 1951.9452   3.08875    
 1951.9480   2.70313    
 1951.9507   3.20957    
 1951.9534  -1.40881    
 1951.9562  -1.43397    
 1951.9589  -1.43855    
 1951.9617  -1.42481    
 1951.9644  -1.40626    
 1951.9672  0.138725    
 1951.9698  -1.30759    
 1951.9727  0.550723E-02
 1951.9753  -1.29154    
 1951.9780  -1.29612    
 1951.9808  -1.31919    
 1951.9835  0.723130    
 1951.9863  -1.40371    
 1951.9890  -1.32510    
 1951.9918  0.875592    
 1951.9945  -1.42171    
 1951.9973  -1.38469    
 1952.0000 -0.267480    
 1952.0027  -1.36902    
 1952.0055   2.21073    
 1952.0082   2.18846    
 1952.0110  -1.45947    
 1952.0137  -1.51371    
 1952.0164  -1.55518    
 1952.0192 -0.599882    
 1952.0219 -0.760585E-01
 1952.0245  -1.74994    
 1952.0273  -1.40529    
 1952.0300  0.724706    
 1952.0328   2.73712    
 1952.0355   3.19465    
 1952.0382  -2.01782    
 1952.0410  0.889529    
 1952.0437 -0.462942E-01
 1952.0465  -1.73271    
 1952.0492  -1.42182    
 1952.0519  -1.63106    
 1952.0547  -1.57088    
 1952.0574  -1.56524    
 1952.0601  -1.60571    
